image_id,factory_id,image_path,inspection_time,created_at
3,57,/hdfs/images/image_BGdea0.jpg,2023-11-15 05:03:14,2023-05-27 22:53:40
6,125,/hdfs/images/image_uYfo5A.jpg,2023-12-21 22:38:57,2023-06-07 14:48:52
9,119,/hdfs/images/image_5LXeWn.jpg,2023-03-06 16:06:34,2023-02-24 04:47:50
12,22,/hdfs/images/image_4VHavt.jpg,2023-08-10 01:22:22,2023-11-19 23:52:10
15,23,/hdfs/images/image_0JtRYv.jpg,2023-05-20 01:06:20,2023-10-28 05:37:08
18,16,/hdfs/images/image_hP34QZ.jpg,2023-05-14 19:27:49,2023-03-05 04:43:04
21,44,/hdfs/images/image_jIaJmh.jpg,2023-04-02 23:30:57,2023-11-10 08:13:26
24,105,/hdfs/images/image_Ps1zzR.jpg,2023-01-30 21:26:38,2023-01-22 01:08:45
27,71,/hdfs/images/image_DlG2k9.jpg,2023-07-29 22:46:43,2023-04-01 00:07:39
30,17,/hdfs/images/image_LVaUBj.jpg,2023-12-24 00:17:55,2023-06-23 12:27:07
33,22,/hdfs/images/image_tW2lUP.jpg,2023-08-20 23:31:06,2023-11-09 22:25:37
36,131,/hdfs/images/image_U1dPY5.jpg,2023-04-25 03:39:09,2023-11-14 22:29:42
39,20,/hdfs/images/image_t2vGwG.jpg,2023-09-09 14:52:47,2023-03-07 02:47:50
42,91,/hdfs/images/image_LyDnqV.jpg,2023-01-21 14:47:06,2023-05-22 06:06:20
45,150,/hdfs/images/image_43kDv9.jpg,2023-01-28 14:43:39,2023-11-28 19:33:20
48,101,/hdfs/images/image_vW5J96.jpg,2023-10-27 01:10:45,2023-11-21 11:34:49
51,77,/hdfs/images/image_AuRaS3.jpg,2023-09-02 22:24:34,2023-12-09 23:20:41
54,137,/hdfs/images/image_n5LzOc.jpg,2023-12-23 04:16:10,2023-11-11 11:06:23
57,81,/hdfs/images/image_ef8S4k.jpg,2023-09-02 07:49:33,2023-07-29 10:45:29
60,85,/hdfs/images/image_YJgzEW.jpg,2023-05-30 08:21:56,2023-07-29 22:48:01
63,30,/hdfs/images/image_i3Eht7.jpg,2023-11-27 06:49:45,2023-10-27 04:02:09
66,32,/hdfs/images/image_e0yy4H.jpg,2023-07-20 02:37:00,2023-09-06 03:10:12
69,65,/hdfs/images/image_V1paTd.jpg,2023-02-04 14:04:59,2023-06-23 15:30:13
72,99,/hdfs/images/image_XAcW5D.jpg,2023-06-25 04:57:32,2023-08-19 10:22:37
75,9,/hdfs/images/image_ITxQsn.jpg,2023-03-31 21:38:59,2023-11-10 13:38:31
78,6,/hdfs/images/image_5Y6Dbc.jpg,2023-10-03 20:41:52,2023-02-20 18:59:09
81,141,/hdfs/images/image_Vgumtk.jpg,2023-05-09 06:03:31,2023-08-07 08:18:53
84,8,/hdfs/images/image_BlTl1d.jpg,2023-11-19 04:34:06,2023-04-15 23:59:25
87,82,/hdfs/images/image_ziRnpF.jpg,2023-12-13 05:28:36,2023-04-18 03:00:00
90,15,/hdfs/images/image_ezx8Rx.jpg,2023-07-29 08:23:59,2023-01-19 00:51:43
93,83,/hdfs/images/image_VMoEpQ.jpg,2023-09-23 08:38:33,2023-08-06 10:21:45
96,18,/hdfs/images/image_u9FZG9.jpg,2023-07-09 23:25:59,2023-04-07 01:07:29
99,26,/hdfs/images/image_zDWD4U.jpg,2023-03-01 17:30:52,2023-05-21 21:51:20
102,119,/hdfs/images/image_xefuP7.jpg,2023-05-08 15:47:39,2023-12-14 10:03:17
105,50,/hdfs/images/image_XR1bTR.jpg,2023-10-19 17:37:26,2023-09-23 02:13:54
108,88,/hdfs/images/image_LynIIU.jpg,2023-09-09 18:36:23,2023-11-20 08:22:23
111,73,/hdfs/images/image_kQgeun.jpg,2023-06-28 14:12:49,2023-05-20 03:05:18
114,72,/hdfs/images/image_MAOVQa.jpg,2023-04-13 17:06:31,2023-05-27 11:47:45
117,125,/hdfs/images/image_H966A7.jpg,2023-05-28 18:28:36,2023-07-24 04:52:01
120,35,/hdfs/images/image_CiWwsG.jpg,2023-07-19 03:50:46,2023-10-09 20:11:32
123,70,/hdfs/images/image_nU8WZA.jpg,2023-11-21 14:29:08,2023-07-25 00:17:26
126,30,/hdfs/images/image_kqysnW.jpg,2023-07-28 03:31:46,2023-01-06 04:32:02
129,134,/hdfs/images/image_nz1ziF.jpg,2023-03-04 21:33:00,2023-01-16 16:16:44
132,56,/hdfs/images/image_RbU8GH.jpg,2023-07-26 01:59:32,2023-05-02 20:50:54
135,120,/hdfs/images/image_XDnJay.jpg,2023-08-05 03:59:59,2023-12-03 19:15:26
138,120,/hdfs/images/image_6kwE7J.jpg,2023-09-10 01:59:12,2023-03-04 18:50:50
141,56,/hdfs/images/image_15MikD.jpg,2023-08-01 16:12:49,2023-08-28 22:59:15
144,5,/hdfs/images/image_cw1a1r.jpg,2023-02-05 06:56:29,2023-04-28 04:57:30
147,83,/hdfs/images/image_45VMBe.jpg,2023-03-07 18:06:28,2023-02-10 17:40:12
150,123,/hdfs/images/image_RhsH4R.jpg,2023-03-08 13:04:04,2023-08-07 09:58:37
153,102,/hdfs/images/image_o0snTC.jpg,2023-07-05 08:53:22,2023-09-29 05:56:45
156,63,/hdfs/images/image_llfVPG.jpg,2023-03-23 02:48:15,2023-08-03 13:31:00
159,147,/hdfs/images/image_5b7Gnf.jpg,2023-12-30 15:42:26,2023-10-26 18:42:15
162,109,/hdfs/images/image_2AikJJ.jpg,2023-02-08 06:49:35,2023-08-08 12:12:23
165,139,/hdfs/images/image_CLvSgT.jpg,2023-06-03 17:17:01,2023-08-15 00:46:03
168,103,/hdfs/images/image_drDAhz.jpg,2023-09-11 17:19:57,2023-08-26 04:46:15
171,22,/hdfs/images/image_u2bHOT.jpg,2023-07-24 07:45:15,2023-05-05 01:10:42
174,24,/hdfs/images/image_c5wsde.jpg,2023-11-21 13:22:11,2023-01-30 01:50:20
177,54,/hdfs/images/image_kouXv4.jpg,2023-09-06 17:52:04,2023-04-15 02:46:21
180,132,/hdfs/images/image_UPhFJm.jpg,2023-11-05 18:57:01,2023-04-05 01:56:42
183,75,/hdfs/images/image_hMt2Gt.jpg,2023-08-29 22:04:17,2023-12-30 00:33:32
186,108,/hdfs/images/image_fobp0G.jpg,2023-01-25 14:24:55,2023-11-28 03:46:04
189,44,/hdfs/images/image_1aMBGN.jpg,2023-12-09 03:46:27,2023-12-25 12:24:37
192,67,/hdfs/images/image_BwCgze.jpg,2023-12-11 14:35:27,2023-02-20 02:47:51
195,113,/hdfs/images/image_TKuEa8.jpg,2023-07-13 08:30:45,2023-01-06 04:53:40
198,49,/hdfs/images/image_fSFuh4.jpg,2023-04-04 14:44:50,2023-09-16 09:08:41
