factory_id,user_id,factory_name,location,created_at
3,13,Factory_7sJUe,Location_19,2023-02-04 11:40:44
6,7,Factory_oGbrl,Location_79,2023-06-08 18:46:59
9,43,Factory_jbg61,Location_61,2023-12-11 11:43:53
12,4,Factory_aELEi,Location_68,2023-06-17 10:15:06
15,23,Factory_vH6KP,Location_58,2023-04-13 17:40:07
18,44,Factory_igMo3,Location_24,2023-01-25 13:06:46
21,3,Factory_cgDlS,Location_30,2023-08-26 06:36:08
24,32,Factory_ksDsb,Location_92,2023-11-02 20:41:39
27,48,Factory_zc5eX,Location_90,2023-07-19 00:25:11
30,36,Factory_VIseb,Location_13,2023-06-13 02:54:32
33,37,Factory_kjy0s,Location_69,2023-06-12 20:32:42
36,53,Factory_jPtNG,Location_10,2023-05-19 04:03:48
39,15,Factory_mEfmE,Location_55,2023-02-11 12:40:09
42,5,Factory_UewXo,Location_73,2023-07-30 08:38:49
45,57,Factory_w4Mmu,Location_100,2023-04-28 18:08:19
48,37,Factory_TcrnH,Location_48,2023-03-22 01:34:44
51,33,Factory_QoViq,Location_46,2023-04-22 23:31:03
54,32,Factory_9KNK0,Location_20,2023-09-27 14:06:30
57,46,Factory_tHuxa,Location_58,2023-07-17 13:35:52
60,1,Factory_joNOL,Location_18,2023-02-15 00:00:17
63,6,Factory_P2Aq6,Location_78,2023-06-04 11:49:26
66,43,Factory_ZK5Sg,Location_51,2023-04-01 03:20:24
69,46,Factory_nUE6z,Location_93,2023-09-04 13:03:50
72,20,Factory_EhOOX,Location_7,2023-09-07 19:03:40
75,19,Factory_X0erl,Location_69,2023-07-18 15:58:19
78,1,Factory_ImEcm,Location_65,2023-10-22 15:56:07
81,37,Factory_fPkKa,Location_100,2023-06-17 22:41:48
84,38,Factory_1YWOd,Location_89,2023-11-21 22:33:38
87,50,Factory_FBjh1,Location_16,2023-01-30 12:51:45
90,23,Factory_Qmne8,Location_15,2023-07-30 01:11:55
93,34,Factory_ABwK5,Location_91,2023-07-09 05:16:18
96,58,Factory_1Vwr0,Location_3,2023-09-19 09:14:14
99,4,Factory_aHHMm,Location_2,2023-06-30 03:21:23
102,27,Factory_MYt1r,Location_46,2023-12-02 20:57:05
105,36,Factory_gkf88,Location_7,2023-09-05 07:47:50
108,52,Factory_41lSM,Location_19,2023-11-14 09:12:37
111,42,Factory_8bB37,Location_42,2023-08-07 05:16:08
114,45,Factory_J5lCD,Location_71,2023-01-03 03:47:09
117,60,Factory_rZdtL,Location_75,2023-05-29 12:41:45
120,35,Factory_cIbTS,Location_53,2023-06-30 20:32:40
123,28,Factory_MaJ5X,Location_58,2023-09-08 07:03:12
126,49,Factory_mBfSo,Location_93,2023-10-04 04:04:10
129,18,Factory_n05Nn,Location_4,2023-08-08 14:39:59
132,26,Factory_YEmmw,Location_2,2023-12-09 00:17:04
135,9,Factory_Uy5iO,Location_80,2023-04-10 01:22:28
138,51,Factory_a407z,Location_75,2023-07-02 08:29:21
141,9,Factory_XG3O9,Location_58,2023-09-07 17:14:54
144,55,Factory_d6cEo,Location_56,2023-06-30 05:00:00
147,38,Factory_vxzfC,Location_40,2023-01-31 10:08:24
150,3,Factory_fGJG5,Location_83,2023-08-31 21:38:43
