result_id,image_id,defect_type,defect_coordinates,is_defective,confidence_score,created_at
1,245,dent,"{""x1"": 60, ""y1"": 74, ""x2"": 185, ""y2"": 119}",True,0.79,2023-10-27 18:49:50
4,122,,,False,,2023-11-18 11:12:26
7,109,scratch,"{""x1"": 9, ""y1"": 35, ""x2"": 144, ""y2"": 135}",True,0.87,2023-05-07 04:57:35
10,278,scratch,"{""x1"": 76, ""y1"": 25, ""x2"": 195, ""y2"": 129}",True,0.95,2023-08-06 00:49:36
13,286,dent,"{""x1"": 9, ""y1"": 41, ""x2"": 169, ""y2"": 110}",True,0.51,2023-05-15 10:15:06
16,19,dent,"{""x1"": 22, ""y1"": 29, ""x2"": 109, ""y2"": 152}",True,0.88,2023-02-16 11:16:45
19,300,,,False,,2023-07-27 11:36:35
22,77,dent,"{""x1"": 97, ""y1"": 48, ""x2"": 199, ""y2"": 166}",True,0.83,2023-02-22 03:46:33
25,164,dent,"{""x1"": 60, ""y1"": 64, ""x2"": 151, ""y2"": 151}",True,0.67,2023-08-26 15:47:55
28,257,scratch,"{""x1"": 56, ""y1"": 13, ""x2"": 157, ""y2"": 168}",True,0.82,2023-06-27 12:55:14
31,289,dent,"{""x1"": 23, ""y1"": 99, ""x2"": 100, ""y2"": 118}",True,0.66,2023-05-16 16:02:50
34,171,dent,"{""x1"": 53, ""y1"": 84, ""x2"": 191, ""y2"": 142}",True,0.57,2023-02-14 15:06:22
37,228,scratch,"{""x1"": 40, ""y1"": 47, ""x2"": 175, ""y2"": 193}",True,0.8,2023-09-07 17:45:48
40,193,stain,"{""x1"": 52, ""y1"": 80, ""x2"": 173, ""y2"": 154}",True,0.54,2023-11-26 02:58:58
43,145,scratch,"{""x1"": 76, ""y1"": 0, ""x2"": 171, ""y2"": 159}",True,0.85,2023-09-26 14:27:10
46,235,scratch,"{""x1"": 38, ""y1"": 29, ""x2"": 103, ""y2"": 160}",True,0.7,2023-12-30 06:01:18
49,99,stain,"{""x1"": 58, ""y1"": 73, ""x2"": 183, ""y2"": 193}",True,0.71,2023-10-03 05:42:54
52,97,dent,"{""x1"": 57, ""y1"": 6, ""x2"": 117, ""y2"": 185}",True,0.58,2023-11-20 15:13:40
55,116,scratch,"{""x1"": 47, ""y1"": 63, ""x2"": 183, ""y2"": 128}",True,0.64,2023-10-28 21:51:23
58,236,dent,"{""x1"": 21, ""y1"": 47, ""x2"": 184, ""y2"": 123}",True,0.68,2023-11-12 17:39:36
61,112,dent,"{""x1"": 25, ""y1"": 51, ""x2"": 124, ""y2"": 177}",True,0.73,2023-11-24 01:08:47
64,284,,,False,,2023-07-21 02:52:13
67,167,scratch,"{""x1"": 51, ""y1"": 44, ""x2"": 163, ""y2"": 107}",True,0.67,2023-09-04 06:08:13
70,265,stain,"{""x1"": 65, ""y1"": 24, ""x2"": 122, ""y2"": 187}",True,0.51,2023-06-06 02:42:03
73,121,,,False,,2023-04-10 17:34:15
76,165,dent,"{""x1"": 78, ""y1"": 38, ""x2"": 104, ""y2"": 123}",True,0.94,2023-07-16 17:33:27
79,190,scratch,"{""x1"": 76, ""y1"": 3, ""x2"": 119, ""y2"": 141}",True,0.86,2023-10-24 15:55:00
82,32,,,False,,2023-07-05 23:25:31
85,171,scratch,"{""x1"": 97, ""y1"": 44, ""x2"": 122, ""y2"": 185}",True,0.72,2023-08-12 10:50:25
88,224,dent,"{""x1"": 2, ""y1"": 59, ""x2"": 104, ""y2"": 133}",True,0.55,2023-12-20 21:34:01
91,214,,,False,,2023-10-25 03:25:46
94,259,stain,"{""x1"": 18, ""y1"": 21, ""x2"": 200, ""y2"": 200}",True,0.89,2023-05-07 16:17:52
97,295,dent,"{""x1"": 58, ""y1"": 11, ""x2"": 196, ""y2"": 159}",True,0.79,2023-05-07 13:14:22
100,11,stain,"{""x1"": 32, ""y1"": 83, ""x2"": 160, ""y2"": 111}",True,0.87,2023-07-08 20:00:21
103,43,scratch,"{""x1"": 52, ""y1"": 68, ""x2"": 128, ""y2"": 184}",True,0.93,2023-05-13 20:08:33
106,174,scratch,"{""x1"": 87, ""y1"": 95, ""x2"": 174, ""y2"": 192}",True,0.63,2023-10-23 08:04:00
109,139,,,False,,2023-10-17 00:05:43
112,179,scratch,"{""x1"": 89, ""y1"": 16, ""x2"": 192, ""y2"": 128}",True,0.56,2023-10-09 21:40:46
115,88,dent,"{""x1"": 32, ""y1"": 94, ""x2"": 192, ""y2"": 132}",True,0.53,2023-10-31 01:16:53
118,170,stain,"{""x1"": 73, ""y1"": 33, ""x2"": 184, ""y2"": 154}",True,0.62,2023-05-15 18:52:26
121,33,,,False,,2023-08-19 06:51:42
124,124,scratch,"{""x1"": 0, ""y1"": 69, ""x2"": 106, ""y2"": 185}",True,0.6,2023-01-16 04:49:05
127,99,scratch,"{""x1"": 66, ""y1"": 21, ""x2"": 109, ""y2"": 109}",True,0.69,2023-12-18 17:58:57
130,70,scratch,"{""x1"": 0, ""y1"": 76, ""x2"": 147, ""y2"": 111}",True,0.81,2023-03-22 08:54:19
133,208,stain,"{""x1"": 7, ""y1"": 3, ""x2"": 149, ""y2"": 150}",True,0.62,2023-06-24 05:02:41
136,187,dent,"{""x1"": 42, ""y1"": 14, ""x2"": 128, ""y2"": 113}",True,0.94,2023-07-17 10:34:28
139,65,stain,"{""x1"": 0, ""y1"": 16, ""x2"": 199, ""y2"": 198}",True,0.9,2023-07-03 18:12:41
142,187,scratch,"{""x1"": 16, ""y1"": 99, ""x2"": 122, ""y2"": 116}",True,0.71,2023-05-04 00:40:16
145,255,scratch,"{""x1"": 62, ""y1"": 68, ""x2"": 105, ""y2"": 126}",True,0.81,2023-03-20 13:31:45
148,102,dent,"{""x1"": 18, ""y1"": 91, ""x2"": 177, ""y2"": 155}",True,0.86,2023-11-15 08:00:35
151,262,,,False,,2023-10-05 20:57:27
154,282,dent,"{""x1"": 91, ""y1"": 54, ""x2"": 179, ""y2"": 188}",True,0.87,2023-03-17 15:14:44
